Name,District,Municipality,Township,Line
Funcheira,BEJA,OURIQUE,Funcheira,Linha do Sul
Ermidas-Sado,SETUBAL,SANTIAGO DO CACEM,Ermidas-Sado,Linha do Sul
Entroncamento,SANTAREM,ENTRONCAMENTO,Nossa Senhora de Fatima,Linha do Norte
Lisboa Oriente,LISBOA,LISBOA,Parque das Naçoes,Linha do Norte
Coimbra B,COIMBRA,COIMBRA,Eiras e Sao Paulo de Frades,Linha do Norte
Espinho,AVEIRO,ESPINHO,Espinho,Linha do Norte
Nine,BRAGA,FAMALICAO,Nine,Linha do Minho
Aveiro - Vouga,AVEIRO,AVEIRO,Esgueira,Linha do Vouga
Pombal,LEIRIA,POMBAL,Pombal,Linha do Norte
Porto Campanha,PORTO,PORTO,Porto,Linha do Norte
Vila Nova de Gaia-Devesas,PORTO,VILA NOVA DE GAIA,Vila Nova de Gaia,Linha do Norte
Trofa,PORTO,TROFA,Bougado (Sao Martinho e Santiago),Linha do Minho
Braga,BRAGA,BRAGA,"Braga (Maximinos, Se e Cividade)",Ramal de Braga
Famalicao,BRAGA,VILA NOVA DE FAMALICAO,Vila Nova de Famalicao e Calendario,Linha do Minho
Viana do Castelo,VIANA DO CASTELO,VIANA DO CASTELO,Viana do Castelo,Linha do Minho
Portela,PORTO,TROFA,Covelas,Linha do Minho
Esmeriz,BRAGA,VILA NOVA DE FAMALICÃO,Esmeriz e Cabeçudos,Linha do Minho
Sao Romao,PORTO,TROFA,Coronado (Sao Romao e Sao Mamede),Linha do Minho
Sao Romao - A,PORTO,TROFA,Coronado (Sao Romao e Sao Mamede),Linha do Minho
Sao Frutuoso,PORTO,MAIA,Folgosa,Linha do Minho
Leandro,PORTO,MAIA,Sao Pedro Fins,Linha do Minho
Travagem,PORTO,VALONGO,Ermesinde,Linha do Minho
Palmilheira,PORTO,MAIA,Aguas Santas,Linha do Minho
Aguas Santas,PORTO,MAIA,Aguas Santas,Linha do Minho
Rio Tinto,PORTO,GONDOMAR,Rio Tinto,Linha do Minho
Contumil,PORTO,PORTO,Campanha,Linha do Minho
General Torres,PORTO,VILA NOVA DE GAIA,Santa Marinha e Sao Pedro da Afurada,Linha do Norte
Coimbroes,PORTO,VILA NOVA DE GAIA,Canidelo,Linha do Norte
Madalena,PORTO,VILA NOVA DE GAIA,Madalena,Linha do Norte
Valadares,PORTO,VILA NOVA DE GAIA,Gulpilhares e Valadares,Linha do Norte
Francelos,PORTO,VILA NOVA DE GAIA,Gulpilhares e Valadares,Linha do Norte
Francelos Sul,PORTO,VILA NOVA DE GAIA,Gulpilhares e Valadares,Linha do Norte
Miramar,PORTO,VILA NOVA DE GAIA,Arcozelo,Linha do Norte
Aguda,PORTO,VILA NOVA DE GAIA,Arcozelo,Linha do Norte
Granja,PORTO,VILA NOVA DE GAIA,São Felix da Marinha,Linha do Norte
Silvalde,AVEIRO,ESPINHO,Silvalde,Linha do Norte
Paramos,AVEIRO,ESPINHO,Paramos,Linha do Norte
Esmoriz,AVEIRO,OVAR,Esmoriz,Linha do Norte
Cortegaca,AVEIRO,OVAR,Cortegaca,Linha do Norte
Carvalheira - Maceda,AVEIRO,OVAR,Maceda,Linha do Norte
Ovar,AVEIRO,OVAR,"Ovar, S. Joao, Arada e S. Vicente de Pereira Jusa",Linha do Norte
Valega,AVEIRO,OVAR,Valega,Linha do Norte
Avanca,AVEIRO,ESTARREJA,Avanca,Linha do Norte
Estarreja,AVEIRO,ESTARREJA,Beduído e Veiros,Linha do Norte
Salreu,AVEIRO,ESTARREJA,Salreu,Linha do Norte
Canelas,AVEIRO,ESTARREJA,Canelas e Fermela,Linha do Norte
Cacia,AVEIRO,AVEIRO,Cacia,Linha do Norte
Santarem,SANTAREM,SANTAREM,Uniao das freguesias da cidade de Santarem,Linha do Norte
Santa Clara-Saboia,BEJA,ODEMIRA,Santa Clara-a-Velha,Linha do Sul
Tunes,FARO,SILVES,Tunes,Linha do Sul
Albufeira - Ferreiras,FARO,ALBUFEIRA,Ferreiras,Linha do Algarve
Loule,FARO,LOULE,Loule (Sao Sebastiao),Linha do Algarve
Faro,FARO,FARO,Faro,Linha do Algarve
Aguim,AVEIRO,ANADIA,"Tamengos, Aguim e Ois do Bairro",Linha do Norte
Curia,AVEIRO,ANADIA,"Tamengos, Aguim e Ois do Bairro",Linha do Norte
Paraimo,AVEIRO,ANADIA,Sangalhos,Linha do Norte
Oliveira do Bairro,AVEIRO,OLIVEIRA DO BAIRRO,Oliveira do Bairro,Linha do Norte
Oia,AVEIRO,OLIVEIRA DO BAIRRO,Oia,Linha do Norte
Quintans,AVEIRO,AVEIRO,Oliveirinha,Linha do Norte
Barrimau,BRAGA,VILA NOVA DE FAMALICAO,Vila Nova de Famalicao e Calendario,Linha do Minho
